id,title,description,availability,condition,price,link,image_link,brand,google_product_category
"nova-style-miroir-elvis","Nova Style : Miroir ELVIS","Nova Style : Miroir ELVIS","in stock","new","2000 MAD","https://novastyle.ma/produits/nova-style-miroir-elvis/","https://novastyle.ma/images/nova-style-miroir-elvis/1.webp","Nova Style","Home & Garden > Decor > Mirrors"
"nova-style-miroir-emeraude","Nova Style : Miroir Emeraude","Nova Style : Miroir Emeraude","in stock","new","450 MAD","https://novastyle.ma/produits/nova-style-miroir-emeraude/","https://novastyle.ma/images/nova-style-miroir-emeraude/1.webp","Nova Style","Home & Garden > Decor > Mirrors"
"nova-style-miroir-vega","Miroir de salle de bain casablanca Miroir VEGA","Miroir de salle de bain casablanca Miroir VEGA","in stock","new","800 MAD","https://novastyle.ma/produits/nova-style-miroir-vega/","https://novastyle.ma/images/nova-style-miroir-vega/1.webp","Nova Style","Home & Garden > Decor > Mirrors"
"nova-style-miroir-double-cercle","Nova Style : Miroir double cercle","Nova Style : Miroir double cercle","in stock","new","900 MAD","https://novastyle.ma/produits/nova-style-miroir-double-cercle/","https://novastyle.ma/images/nova-style-miroir-double-cercle/1.webp","Nova Style","Home & Garden > Decor > Mirrors"
"nova-style-miroir-anfa-cm","Nova Style : Miroir ANFA CM - Miroir Salle de Bain avec Cadre","Nova Style : Miroir ANFA CM - Miroir Salle de Bain avec Cadre","in stock","new","1580 MAD","https://novastyle.ma/produits/nova-style-miroir-anfa-cm/","https://novastyle.ma/images/nova-style-miroir-anfa-cm/1.webp","Nova Style","Home & Garden > Decor > Mirrors"
"nova-style-miroir-anfa-half-plus","Nova Style : Miroir ANFA HALF PLUS","Nova Style : Miroir ANFA HALF PLUS","in stock","new","650 MAD","https://novastyle.ma/produits/nova-style-miroir-anfa-half-plus/","https://novastyle.ma/images/nova-style-miroir-anfa-half-plus/1.webp","Nova Style","Home & Garden > Decor > Mirrors"
"nova-style-ensemble-meuble-et-miroir-retroeclaire","Nova Style : Ensemble Meuble et Miroir rétroéclairé","Nova Style : Ensemble Meuble et Miroir rétroéclairé","in stock","new","0 MAD","https://novastyle.ma/produits/nova-style-ensemble-meuble-et-miroir-retroeclaire/","https://novastyle.ma/images/nova-style-ensemble-meuble-et-miroir-retroeclaire/1.webp","Nova Style","Home & Garden > Decor > Mirrors"
"nova-style-miroir-archway","Nova Style : Miroir ARCHWAY Grand miroir de salon et dressing","Nova Style : Miroir ARCHWAY Grand miroir de salon et dressing","in stock","new","2000 MAD","https://novastyle.ma/produits/nova-style-miroir-archway/","https://novastyle.ma/images/nova-style-miroir-archway/1.webp","Nova Style","Home & Garden > Decor > Mirrors"
"nova-style-miroir-iceberg","Nova Style : Miroir ICEBERG","Nova Style : Miroir ICEBERG","in stock","new","1030 MAD","https://novastyle.ma/produits/nova-style-miroir-iceberg/","https://novastyle.ma/images/nova-style-miroir-iceberg/1.webp","Nova Style","Home & Garden > Decor > Mirrors"
"nova-style-miroir-croissant-de-lune-ii-finition-noyer","Nova Style : Miroir Croissant de lune II Finition Noyer","Nova Style : Miroir Croissant de lune II Finition Noyer","in stock","new","1700 MAD","https://novastyle.ma/produits/nova-style-miroir-croissant-de-lune-ii-finition-noyer/","https://novastyle.ma/images/nova-style-miroir-croissant-de-lune-ii-finition-noyer/1.webp","Nova Style","Home & Garden > Decor > Mirrors"
"nova-style-miroir-croissant-de-lune","Nova Style : Miroir Croissant de lune","Nova Style : Miroir Croissant de lune","in stock","new","1000 MAD","https://novastyle.ma/produits/nova-style-miroir-croissant-de-lune/","https://novastyle.ma/images/nova-style-miroir-croissant-de-lune/1.webp","Nova Style","Home & Garden > Decor > Mirrors"
"nova-style-miroir-azalee","miroir salle de bain avec cadre de Nova Style : Miroir Azalée","miroir salle de bain avec cadre de Nova Style : Miroir Azalée","in stock","new","1600 MAD","https://novastyle.ma/produits/nova-style-miroir-azalee/","https://novastyle.ma/images/nova-style-miroir-azalee/1.webp","Nova Style","Home & Garden > Decor > Mirrors"
"nova-style-miroir-anfa-plus","Nova Style : Miroir ANFA PLUS","Nova Style : Miroir ANFA PLUS","in stock","new","540 MAD","https://novastyle.ma/produits/nova-style-miroir-anfa-plus/","https://novastyle.ma/images/nova-style-miroir-anfa-plus/1.webp","Nova Style","Home & Garden > Decor > Mirrors"
"nova-style-miroir-rond","Nova Style : Miroir ROND","Nova Style : Miroir ROND","in stock","new","700 MAD","https://novastyle.ma/produits/nova-style-miroir-rond/","https://novastyle.ma/images/nova-style-miroir-rond/1.webp","Nova Style","Home & Garden > Decor > Mirrors"
"nova-style-miroir-hawaii","Nova Style : Miroir HAWAII","Nova Style : Miroir HAWAII","in stock","new","2300 MAD","https://novastyle.ma/produits/nova-style-miroir-hawaii/","https://novastyle.ma/images/nova-style-miroir-hawaii/1.webp","Nova Style","Home & Garden > Decor > Mirrors"
"nova-style-miroir-croissant-de-lune-ii","Nova Style : Miroir Croissant de lune II","Nova Style : Miroir Croissant de lune II","in stock","new","1000 MAD","https://novastyle.ma/produits/nova-style-miroir-croissant-de-lune-ii/","https://novastyle.ma/images/nova-style-miroir-croissant-de-lune-ii/1.webp","Nova Style","Home & Garden > Decor > Mirrors"
